44,19343,100,0.80%,1.1229,159965,159965,1.1260,央视50,央视50,-2.16%,399550,0.00%,央视50,23:50:04,15:00:03,2020-01-23,0,1.390,9.493,1.135,0.00,2.20,596.66
45,139155,100,0.16%,1.3179,159966,159966,1.3179,创蓝筹,创蓝筹,-3.08%,399295,0.00%,创业蓝筹,23:50:04,15:00:03,2020-01-23,0,7.001,52.032,1.320,0.16,18.37,11425.87
46,13734,100,-0.05%,1.3005,159967,159967,1.3006,创成长,创成长,-3.70%,399296,0.00%,创成长,23:50:04,15:00:03,2020-01-23,0,7.863,54.761,1.300,0.12,1.79,2482.62
47,30650,40,0.09%,5.3822,159968,159968,5.3802,ZZ500ETF,ZZ500ETF,-3.37%,000905,0.00%,中证500,23:50:04,15:00:03,2020-01-23,0,1.887,25.291,5.385,-0.09,16.51,18229.24
48,13990,100,0.01%,1.1484,159969,159969,1.1489,深100P,深100P,-3.69%,399330,0.00%,深证100,23:50:04,15:00:03,2020-01-23,0,3.182,23.210,1.149,0.00,1.61,836.26
49,801,200,-0.11%,1.3222,159971,159971,1.3234,创业板FG,创业板FG,-3.57%,399006,0.00%,创业板指,23:50:04,15:00:03,2020-01-23,0,5.818,54.313,1.322,0.00,0.11,58.85
50,37698,100,3.26%,1.1868,159973,159973,1.1873,民企100,民企100,-0.57%,399362,0.00%,民企100,23:50:04,15:00:03,2020-01-23,0,3.662,25.013,1.226,0.00,4.62,19.29
51,137994,100,0.00%,1.9249,159977,159977,1.9250,创业板TH,创业板TH,-3.27%,399006,0.00%,创业板指,23:50:04,15:00:03,2020-01-23,0,5.818,54.313,1.925,0.04,26.56,5505.33
52,32832,120,-0.52%,0.9416,159985,159985,0.9489,豆粕ETF,豆粕ETF,-1.05%,DCESMFI,0.00%,大商所豆粕,23:50:04,15:00:03,2020-01-23,0,0.000,0.000,0.944,0.14,3.10,1157.77
53,19846,100,0.19%,1.1304,159987,159987,1.1308,创新ETF,创新ETF,-2.83%,-,0.00%,创新100,23:50:04,15:00:03,2020-01-23,0,-,-,1.133,0.00,2.25,3564.17
54,28052,100,2.04%,1.1761,510010,510010,1.1760,治理ETF,治理ETF,-0.99%,000021,0.00%,180治理,23:50:04,15:00:00,2020-01-23,0,1.109,9.315,1.200,0.00,3.37,15.87
55,5755,10,-0.42%,2.9749,510020,510020,2.9696,超大ETF,超大ETF,-3.27%,000980,0.00%,中证超大,23:50:04,15:00:00,2020-01-23,0,1.243,9.983,2.957,0.00,1.70,17.99
56,2753,50,-0.22%,5.3871,510030,510030,5.4070,价值ETF,价值ETF,-2.60%,000029,0.00%,180价值,23:50:04,15:00:00,2020-01-23,0,0.949,7.626,5.395,0.00,1.49,124.57
57,1444387,90,0.00%,2.9248,510050,510050,2.9250,50ETF,50ETF,-2.69%,000016,0.00%,上证50,23:50:05,15:00:08,2020-01-23,0,1.192,9.565,2.925,-2.53,422.48,225967.00
58,7296,100,1.07%,1.8243,510060,510060,1.8245,央企ETF,央企ETF,-1.65%,000042,0.00%,上证央企,23:50:05,15:00:00,2020-01-23,0,0.989,8.751,1.844,0.00,1.35,38.60
59,4462,50,0.10%,1.9357,510070,510070,1.9360,民企ETF,民企ETF,-2.95%,000049,0.00%,上证民企,23:50:05,15:00:00,2020-01-23,0,3.996,26.726,1.938,0.00,0.86,11.46
60,4758,50,4.07%,1.8690,510090,510090,1.8727,责任ETF,责任ETF,0.72%,000048,0.00%,责任指数,23:50:05,15:00:00,2020-01-23,0,1.339,9.758,1.949,0.00,0.93,3.98
61,842,30,1.34%,3.8001,510110,510110,3.8020,周期ETF,周期ETF,-0.44%,000063,0.00%,上证周期,23:50:05,15:00:00,2020-01-23,0,1.044,8.536,3.853,0.00,0.32,11.44
62,689,30,-1.20%,3.0901,510120,510120,3.0910,非周ETF,非周ETF,-3.17%,000064,0.00%,非周期,23:50:05,15:00:00,2020-01-23,0,2.535,20.338,3.054,0.00,0.21,2.84
63,5789,40,-0.57%,4.0140,510130,510130,4.0220,中盘ETF,中盘ETF,-3.10%,000044,0.00%,上证中盘,23:50:05,15:00:00,2020-01-23,0,1.561,14.261,3.999,0.00,2.32,2.13
64,2993,40,-0.27%,5.5238,510150,510150,5.5400,消费ETF,消费ETF,-2.90%,000069,0.00%,消费80,23:50:05,15:00:00,2020-01-23,0,3.564,25.405,5.525,0.00,1.65,427.83
65,92006,200,0.64%,0.5634,510160,510160,0.5644,小康ETF,小康ETF,-2.07%,399901,0.00%,小康指数,23:50:05,15:00:00,2020-01-23,0,1.268,10.444,0.568,-0.01,5.23,145.24
66,6923,50,-0.87%,1.7160,510170,510170,1.7210,商品ETF,商品ETF,-2.01%,000066,0.00%,上证商品,23:50:05,15:00:00,2020-01-23,0,1.118,16.639,1.706,0.00,1.18,24.76
67,561306,50,0.20%,3.4269,510180,510180,3.4270,180ETF,180ETF,-2.75%,000010,0.00%,上证180,23:50:05,15:00:00,2020-01-23,0,1.274,10.500,3.434,-0.12,192.75,9081.55
68,2515,50,2.05%,3.4540,510190,510190,3.4560,龙头ETF,龙头ETF,-0.93%,000065,0.00%,上证龙头,23:50:05,15:00:00,2020-01-23,0,1.446,11.627,3.527,0.00,0.89,51.34
69,3764,50,-0.21%,3.7898,510210,510210,3.8070,综指ETF,综指ETF,-2.46%,000001,0.00%,上证指数,23:50:05,15:00:00,2020-01-23,0,1.381,12.787,3.799,0.00,1.43,683.34
70,1873,100,0.14%,4.2130,510220,510220,4.2141,中小ETF,中小ETF,-2.22%,000046,0.00%,上证中小,23:50:05,15:00:00,2020-01-23,0,1.641,17.069,4.220,0.00,0.79,17.36
71,84626,50,0.25%,5.4997,510230,510230,5.5002,金融ETF,金融ETF,-2.37%,000018,0.00%,180金融,23:50:05,15:00:00,2020-01-23,0,1.020,7.950,5.514,0.00,46.66,3686.67
72,1383,100,1.44%,1.1120,510270,510270,1.1130,国企ETF,国企ETF,-2.92%,000056,0.00%,上证国企,23:50:05,15:00:00,2020-01-23,0,1.117,9.583,1.129,0.00,0.16,20.47
73,13045,200,0.54%,1.5072,510290,510290,1.5079,380ETF,380ETF,-2.38%,000009,0.00%,上证380,23:50:05,15:00:00,2020-01-23,0,1.981,18.370,1.516,0.00,1.98,230.74
74,1022179,90,-0.06%,3.9985,510300,510300,3.9983,300ETF,300ETF,-2.99%,399300,0.00%,沪深300,23:50:05,15:00:00,2020-01-23,0,1.484,12.145,3.996,-12.55,408.46,304204.60
75,478431,200,0.25%,1.7741,510310,510310,1.7746,HS300ETF,HS300ETF,-2.68%,000300,0.00%,沪深300,23:50:05,15:00:00,2020-01-23,0,1.484,12.145,1.779,-0.07,85.11,14111.28
76,760795,90,-0.05%,4.0049,510330,510330,4.0050,华夏300,华夏300,-2.98%,399300,0.00%,沪深300,23:50:05,15:00:00,2020-01-23,0,1.484,12.145,4.003,-1.55,304.55,106921.30
77,94061,90,0.30%,3.9842,510350,510350,3.9852,工银300,工银300,-2.80%,000300,0.00%,沪深300,23:50:05,15:00:00,2020-01-23,0,1.484,12.145,3.997,-0.36,37.60,8736.62
78,250738,300,0.13%,1.3135,510360,510360,1.3143,广发300,广发300,-2.95%,399300,0.00%,沪深300,23:50:05,15:00:00,2020-01-23,0,1.484,12.145,1.316,-0.47,33.00,1330.50
79,472880,90,-0.16%,1.0314,510380,510380,1.0317,国寿300,国寿300,-3.29%,399300,0.00%,沪深300,23:50:05,15:00:00,2020-01-23,0,1.484,12.145,1.030,0.00,48.71,18.15
80,117155,90,0.10%,4.1451,510390,510390,4.1450,平安300,平安300,-2.97%,399300,0.00%,沪深300,23:50:05,15:00:00,2020-01-23,0,1.484,12.145,4.149,-0.15,48.61,7966.24
81,19926,100,0.16%,0.6127,510410,510410,0.6130,资源ETF,资源ETF,-2.85%,000068,0.00%,上证资源,23:50:05,15:00:00,2020-01-23,0,1.046,16.979,0.614,0.01,1.22,600.70
82,5792,100,1.29%,1.5460,510430,510430,1.5460,50等权,50等权,-0.13%,000050,0.00%,50等权,23:50:05,15:00:00,2020-01-23,0,1.192,9.565,1.566,0.00,0.91,4.86
83,2206,100,1.96%,1.5808,510440,510440,1.5810,500沪市,500沪市,-1.10%,000802,0.00%,500沪市,23:50:05,15:00:00,2020-01-23,0,1.783,21.563,1.612,0.00,0.36,13.14
84,779147,40,-0.24%,5.8271,510500,510500,5.8247,500ETF,500ETF,-3.73%,000905,0.00%,中证500,23:50:05,15:00:00,2020-01-23,0,1.887,25.291,5.811,-0.33,452.76,243776.97
85,340704,200,0.05%,1.5391,510510,510510,1.5392,广发500,广发500,-3.51%,000905,0.00%,中证500,23:50:05,15:00:00,2020-01-23,0,1.887,25.291,1.540,0.22,52.47,11747.05
86,63632,200,2.81%,1.1515,510560,510560,1.1516,国寿500,国寿500,-0.84%,000905,0.00%,中证500,23:50:05,15:00:00,2020-01-23,0,1.887,25.291,1.184,0.00,7.53,1.39
87,14870,60,0.49%,5.5129,510580,510580,5.5189,ZZ500ETF,ZZ500ETF,-2.91%,000905,0.00%,中证500,23:50:05,15:00:00,2020-01-23,0,1.887,25.291,5.546,0.07,8.25,5839.28
88,43559,300,0.22%,5.5295,510590,510590,5.5290,平安500,平安500,-3.26%,000905,0.00%,中证500,23:50:05,15:00:00,2020-01-23,0,1.887,25.291,5.541,-0.04,24.14,6077.17
89,3762,30,-0.22%,3.0763,510600,510600,3.0828,沪50ETF,沪50ETF,-2.66%,000016,0.00%,上证50,23:50:05,15:00:00,2020-01-23,0,1.192,9.565,3.076,0.01,1.16,2840.26
90,7409,50,-0.25%,2.9016,510630,510630,2.9094,消费行业,消费行业,-3.23%,000036,0.00%,上证消费,23:50:05,15:00:00,2020-01-23,0,6.975,31.895,2.902,0.00,2.15,215.64
