,open,high,low,close,volume
2014-04-04,106.17,107.04,104.45,106.65,8004.0
2014-04-07,106.35,106.63,105.13,105.99,8793.0
2014-04-08,105.97,107.85,105.13,107.57,8950.0
2014-04-09,107.54,108.12,105.8,107.9,7376.0
2014-04-10,107.75,108.12,107.1,107.39,6136.0
2014-04-11,107.45,107.92,107.06,107.15,7739.0
2014-04-14,107.23,109.14,107.23,108.96,12020.0
2014-04-15,108.83,109.75,107.23,109.18,9573.0
2014-04-16,109.43,110.36,108.33,109.71,10922.0
2014-04-17,109.6,110.36,109.0,109.76,10408.0
2014-04-18,0.0,109.76,109.76,109.76,0.0
2014-04-21,109.76,110.05,108.89,109.96,5704.0
2014-04-22,109.94,110.05,108.53,109.37,8789.0
2014-04-23,109.5,109.99,108.53,109.14,7988.0
2014-04-24,109.22,110.24,108.6,110.16,3557.0
2014-04-25,110.33,110.53,110.16,110.33,70.0
2014-04-28,109.5,110.33,107.86,108.12,10240.0
2014-04-29,108.13,110.2,107.86,108.91,8392.0
2014-04-30,108.8,109.37,107.55,108.14,10588.0
2014-05-01,108.08,108.8,106.85,107.7,9767.0
2014-05-02,107.72,108.99,106.85,108.9,9529.0
2014-05-05,108.92,108.92,107.05,107.59,7785.0
2014-05-06,107.53,108.92,106.97,107.11,8658.0
2014-05-07,107.17,108.25,106.96,108.09,8874.0
2014-05-08,108.07,108.25,106.96,108.02,7507.0
2014-05-09,108.08,109.02,107.38,107.97,7904.0
2014-05-12,107.25,108.17,107.25,107.77,6295.0
2014-05-13,107.6,108.75,107.25,108.65,6492.0
2014-05-14,108.65,109.55,107.44,109.2,8100.0
2014-05-15,109.31,109.65,108.63,109.02,8566.0
2014-05-16,108.96,110.05,108.83,109.68,8053.0
2014-05-19,109.82,110.33,109.3,109.36,7953.0
2014-05-20,109.33,110.33,109.1,109.84,8532.0
2014-05-21,109.76,110.73,109.1,110.54,10135.0
2014-05-22,110.49,111.04,109.7,110.39,8861.0
2014-05-23,110.38,111.04,110.17,110.44,7369.0
2014-05-26,110.4,110.55,109.75,110.39,2762.0
2014-05-27,110.35,110.8,109.71,110.19,8974.0
2014-05-28,110.22,110.8,109.41,110.06,8582.0
2014-05-29,109.89,110.46,109.41,110.07,7873.0
2014-05-30,110.02,110.46,109.22,109.49,7463.0
2014-06-02,109.7,109.87,108.62,108.8,6783.0
2014-06-03,108.8,109.87,108.32,108.85,6508.0
2014-06-04,108.89,109.5,108.07,108.07,8092.0
2014-06-05,108.13,109.5,107.77,108.88,8477.0
2014-06-06,108.85,109.31,108.46,108.85,6121.0
2014-06-09,108.68,110.16,108.55,109.96,6891.0
2014-06-10,109.18,109.96,107.79,108.98,6274.0
2014-06-11,108.82,109.58,108.43,109.51,6493.0
2014-06-12,109.34,112.75,108.78,112.54,17035.0
2014-06-13,112.8,114.07,109.34,112.44,17459.0
2014-06-16,112.73,113.28,112.33,112.83,9883.0
2014-06-17,112.97,113.8,112.16,113.31,11065.0
2014-06-18,113.46,114.54,112.16,114.14,12236.0
2014-06-19,114.22,115.71,114.14,114.92,12714.0
2014-06-20,114.92,115.71,114.15,114.68,9733.0
