,name,net_profit,net_assets,good_will,good_will_ratio,industry,ipo_date
300332.XSHE,天壕环境,-0.3663,36.0553,11.574,32.1007,公用事业I,2012-06-28
300046.XSHE,台基股份,2.9258,9.0457,2.883,31.8712,电子I,2010-01-20
300256.XSHE,星星科技,7.1571,27.5039,8.7592,31.8473,电子I,2011-08-19
300103.XSHE,达刚控股,3.0578,11.7418,3.7341,31.802,机械设备I,2010-08-12
300099.XSHE,精准信息,1.4981,17.319,5.5055,31.7889,机械设备I,2010-08-06
300466.XSHE,赛摩电气,1.5084,11.2337,3.5699,31.779,电气设备I,2015-05-28
300180.XSHE,华峰超纤,5.6606,51.9693,16.4889,31.7281,化工I,2011-02-22
300013.XSHE,新宁物流,-0.7775,14.6248,4.612,31.5355,交通运输I,2009-10-30
300293.XSHE,蓝英装备,0.2486,9.4801,2.9746,31.3773,机械设备I,2012-03-08
300633.XSHE,开立医疗,-0.8904,13.6527,4.2664,31.2498,医药生物I,2017-04-06
300437.XSHE,清水源,4.1602,18.9998,5.9143,31.1281,化工I,2015-04-23
300290.XSHE,荣科科技,0.2881,10.6887,3.2995,30.8692,计算机I,2012-02-16
300282.XSHE,三盛教育,1.8172,25.7246,7.9371,30.8542,传媒I,2011-12-29
300324.XSHE,旋极信息,8.599,52.7059,16.237,30.8068,计算机I,2012-06-08
300430.XSHE,诚益通,1.0816,16.996,5.2288,30.7648,机械设备I,2015-03-19
300494.XSHE,盛天网络,2.586,10.5369,3.2081,30.4462,传媒I,2015-12-31
300746.XSHE,汉嘉设计,1.2835,11.9663,3.6417,30.433,建筑装饰I,2018-05-25
300250.XSHE,初灵信息,1.8879,10.2737,3.1207,30.3758,计算机I,2011-08-03
300229.XSHE,拓尔思,3.7402,19.9498,6.034,30.2459,计算机I,2011-06-15
300098.XSHE,高新兴,-12.4597,58.1804,17.4244,29.949,通信I,2010-07-28
300078.XSHE,思创医惠,3.1736,23.3791,6.9608,29.7735,电子I,2010-04-30
300336.XSHE,新文化,3.2871,31.2667,9.3064,29.7646,传媒I,2012-07-10
300383.XSHE,光环新网,21.1198,81.218,23.979,29.5243,通信I,2014-01-29
300146.XSHE,汤臣倍健,30.8692,73.257,21.5359,29.3977,食品饮料I,2010-12-15
300248.XSHE,新开普,4.4279,16.4354,4.8307,29.3921,计算机I,2011-07-29
300518.XSHE,盛讯达,0.7881,12.1311,3.5575,29.3256,传媒I,2016-06-24
300271.XSHE,华宇软件,10.4461,57.0117,16.6107,29.1355,计算机I,2011-10-26
300157.XSHE,恒泰艾普,-2.5185,41.9848,12.2032,29.0658,采掘I,2011-01-07
300165.XSHE,天瑞仪器,-0.5525,16.843,4.8886,29.0247,机械设备I,2011-01-25
300434.XSHE,金石亚药,1.7282,27.2005,7.8747,28.9504,医药生物I,2015-04-24
300056.XSHE,三维丝,6.5084,8.7597,2.5358,28.9487,公用事业I,2010-02-26
300242.XSHE,佳云科技,0.6155,10.6022,3.0438,28.7094,传媒I,2011-07-12
300420.XSHE,五洋停车,3.8682,17.5369,5.0212,28.6323,机械设备I,2015-02-17
300672.XSHE,国科微,2.7112,10.5067,2.9983,28.5366,电子I,2017-07-12
300331.XSHE,苏大维格,2.5866,14.7734,4.2158,28.5365,电子I,2012-06-28
300450.XSHE,先导智能,24.2529,38.4817,10.9234,28.3858,机械设备I,2015-05-18
