,name,1d,5d,10d,20d,30d,60d,90d,tw,tm,tq,ty,2015y,2016y,2017y,2018y,2019y,vlt,update,aid
000001.XSHE,平安银行,-0.74,3.54,-0.3,3.86,1.51,-14.72,-16.73,0.0,0.0,0.0,0.0,-16.58,-13.12,45.31,-32.19,0.0,28.65,2018-08-10,pe
600015.XSHG,华夏银行,0.0,2.74,0.0,2.74,1.25,-11.29,-17.74,0.0,0.0,0.0,0.0,1.46,-14.57,1.01,-18.56,0.0,22.03,2018-08-10,pe
603323.XSHG,吴江银行,-0.58,4.09,-0.66,6.12,1.27,-15.23,-23.22,0.0,0.0,0.0,0.0,,,-40.62,-29.05,0.0,43.24,2018-08-10,pe
601229.XSHG,上海银行,-1.08,2.51,0.82,-5.04,-5.28,-4.05,-2.52,0.0,0.0,0.0,0.0,,,-26.2,0.0,0.0,27.45,2018-08-10,pe
002807.XSHE,江阴银行,-0.16,2.85,-0.89,2.67,1.07,-15.36,-21.82,0.0,0.0,0.0,0.0,,,-23.58,-34.49,0.0,41.26,2018-08-10,pe
600919.XSHG,江苏银行,-0.34,2.24,-1.0,1.19,-2.14,-14.16,-16.57,0.0,0.0,0.0,0.0,,,-30.73,-19.4,0.0,20.32,2018-08-10,pe
600908.XSHG,无锡银行,-0.19,1.96,-1.88,1.26,-2.07,-15.63,-21.89,0.0,0.0,0.0,0.0,,,-33.66,-30.81,0.0,36.83,2018-08-10,pe
601169.XSHG,北京银行,-0.31,1.26,-1.98,0.78,-3.44,-14.57,-18.56,0.0,0.0,0.0,0.0,1.17,7.21,-1.2,-21.63,0.0,20.11,2018-08-10,pe
601988.XSHG,中国银行,-0.67,1.36,-0.67,-0.67,-1.97,-8.17,-11.18,0.0,0.0,0.0,0.0,-2.8,-16.71,15.4,-10.64,0.0,27.4,2018-08-10,pe
601398.XSHG,工商银行,-1.31,0.3,-0.73,2.57,3.35,-7.88,-10.67,0.0,0.0,0.0,0.0,-5.0,-4.75,39.04,-13.08,0.0,34.64,2018-08-10,pe
601998.XSHG,中信银行,-0.3,1.82,-2.89,0.3,-4.14,-9.68,-9.43,0.0,0.0,0.0,0.0,-12.9,-10.89,-0.41,-7.31,0.0,28.06,2018-08-10,pe
601009.XSHG,南京银行,0.0,-2.31,-12.31,-8.51,-8.94,-18.26,-17.57,0.0,0.0,0.0,0.0,8.31,-12.12,-11.01,-15.93,0.0,34.72,2018-08-10,pe
600036.XSHG,招商银行,-1.32,4.2,1.36,-0.67,3.47,-8.59,-9.15,0.0,0.0,0.0,0.0,-2.26,-14.62,50.45,-10.78,0.0,40.71,2018-08-10,pb
600000.XSHG,浦发银行,0.0,2.74,1.35,7.14,7.14,-6.25,-12.79,0.0,0.0,0.0,0.0,0.89,-14.16,-2.06,-21.05,0.0,22.56,2018-08-10,pb
600926.XSHG,杭州银行,1.05,3.23,0.0,5.49,3.23,-2.04,-3.03,0.0,0.0,0.0,0.0,,,-35.44,-5.88,0.0,21.11,2018-08-10,pb
