,name,net_profit,net_assets,good_will,good_will_ratio,industry,ipo_date
300066.XSHE,三川智慧,6.2111,17.966,0.1136,0.632,机械设备I,2010-03-26
300567.XSHE,精测电子,6.1517,14.4047,0.0899,0.6244,机械设备I,2016-11-22
300674.XSHE,宇信科技,0.7935,17.2159,0.098,0.569,计算机I,2018-11-07
300679.XSHE,电连技术,4.3677,35.3483,0.1848,0.5228,电子I,2017-07-31
300664.XSHE,鹏鹞环保,7.04,34.6418,0.0871,0.2514,公用事业I,2018-01-05
300497.XSHE,富祥股份,10.2988,14.107,0.0222,0.1572,医药生物I,2015-12-22
300765.XSHE,新诺威,7.6423,23.5522,0.0347,0.1472,医药生物I,2019-03-22
300255.XSHE,常山药业,7.0302,26.8997,0.0356,0.1322,医药生物I,2011-08-19
300761.XSHE,立华股份,84.0366,60.8441,0.0794,0.1304,农林牧渔I,2019-02-18
300309.XSHE,吉艾科技,2.749,21.5132,0.0144,0.0669,非银金融I,2012-04-10
300377.XSHE,赢时胜,4.4711,28.9226,0.015,0.052,计算机I,2014-01-27
300458.XSHE,全志科技,6.9652,22.3204,0.0047,0.021,电子I,2015-05-15
300723.XSHE,一品红,6.0529,13.968,0.0026,0.0183,医药生物I,2017-11-16
300726.XSHE,宏达电子,6.3656,17.3639,0.0009,0.0053,电子I,2017-11-21
300533.XSHE,冰川网络,2.7962,16.3921,0.0006,0.0035,传媒I,2016-08-18
